Algorithm,MSE,RMSE,MAPE,Pearson Coefficient
Spatial_GCN,2721.2109375,35.73800277709961,0.38136059045791626,0.6439933180809021
Spatial_GAT,1059.926513671875,22.490365982055664,0.2328367978334427,0.8909438252449036
Spatial_GraphSage,2374.2939453125,31.743408203125,0.31438544392585754,0.7167590260505676
Spatial_GIN,1122.226806640625,23.00992202758789,0.22243735194206238,0.914442241191864
Naive_MLP,815.2531127929688,19.60230827331543,0.24211370944976807,0.9423791170120239
